EFF_AGE,ACT_AGE,LND_SQFOOT,TOT_LVG_AREA,S_LEGAL,CONST_CLASS,IMP_QUAL,JV,LND_VAL,NO_BULDNG,NCONST_VAL,DEL_VAL,SPEC_FEAT_VAL,MonthDifference,SALE_PRC1,Target_Var
23,23,20850,1453,LOTS 13 TO 18 INC BLK L 4TH AD,0,3,154349,13755,1,0,0,13661,5,205000,0
18,22,10000,1330,LOT 8 BLK 266 DELTONA LAKES UN,0,3,149271,20400,1,0,0,278,3,210000,0
7,30,10000,1395,LOT 9 BLK 322 DELTONA LAKES UN,0,3,169016,21200,1,0,0,0,5,199900,0
12,20,10000,1551,LOT 9 BLK 370 DELTONA LAKES UN,0,3,167252,21200,1,0,0,142,4,186000,0
42,42,10250,1702,LOT 7 BLK 366 DELTONA LAKES UN,0,3,130450,24600,1,0,0,897,4,219900,0
16,19,12180,1785,LOT 11 BLK 389 DELTONA LAKES U,0,3,183769,21408,1,0,0,0,2,243000,0
38,47,9625,1554,LOT 6 BLK 55 DELTONA LAKES UNI,0,3,133978,24640,1,0,0,87,0,128000,1
32,42,39060,1748,LOT 10 BLK 375 DELTONA LAKES U,0,3,175249,47709,1,0,0,83,1,239900,0
19,44,10000,1402,LOT 17 BLK 292 DELTONA LAKES U,0,3,170472,20400,1,0,0,9612,5,215000,0
34,44,14416,1948,LOT 17 BLK 304 DELTONA LAKES U,0,3,182709,24449,1,0,0,779,6,215000,0
10,44,10000,1517,LOT 37 BLK 371 DELTONA LAKES U,0,3,175615,21200,1,0,0,0,7,192900,0
33,47,16470,1652,LOT 9 EXC NEW R/W FOR SAXON BL,0,3,136704,22549,1,0,0,0,0,110000,1
39,45,15125,1963,LOT 45 & E 1/2 LOT 46 BLK 317,0,3,168857,23141,1,0,0,234,0,99000,0
37,42,10000,1448,LOT 11 BLK 256 DELTONA LAKES U,0,3,156628,24800,1,0,0,13064,4,192000,0
36,44,9750,1642,LOT 12 BLK 294 DELTONA LAKES U,0,3,154009,24180,1,1132,0,1337,4,199900,0
9,35,102749,1768,TRACT BEG NE COR OF SW 1/4 RUN,4,3,194721,45962,1,42441,0,17389,7,263400,0
19,33,7643,2542,BLOOMINGDALE SECTION BB PHASE,4,3,207692,41638,1,0,0,24881,9,240000,0
16,27,16636,4024,RIVER HILLS COUNTRY CLUB PHASE,3,5,442745,85035,1,0,0,33372,6,310000,1
16,28,15443,3878,RIVER HILLS COUNTRY CLUB PHASE,3,5,428603,87078,1,0,0,39458,6,450000,0
32,60,48180,1495,E 212 FT OF N 1/2 OF S 1/2 OF,3,3,126376,37060,1,0,0,4612,0,100000,1
16,26,16694,2124,BLOOMINGDALE SECTION DD PHASE,3,3,177657,38635,1,0,0,0,3,237500,0
12,20,6654,2683,BLOOMINGDALE SECTION DD PH 3 A,3,3,213061,36364,1,0,0,0,5,188100,1
8,11,13822,2720,CHANNING PARK,3,3,262483,94061,1,0,0,0,4,296000,0
20,34,192661,2816,W 330 FT OF SW 1/4 OF SW 1/4 O,3,3,270258,133569,1,0,0,893,2,288500,0
8,16,9417,3270,FISHHAWK RANCH PHASE 2 PARCEL,3,3,289742,67016,1,0,0,0,2,365000,0
12,20,7381,2265,FISHHAWK RANCH PHASE 1 UNIT 1B,3,3,203420,40197,1,0,0,20141,3,279000,0
10,16,5850,3074,FISHHAWK RANCH TOWNCENTER PHAS,3,3,255431,48672,1,0,0,0,3,349900,0
12,20,4600,1541,FISHHAWK RANCH PHASE 2 PARCEL,3,3,140791,35684,1,0,0,0,0,175000,0
12,20,6191,1732,FISHHAWK RANCH PHASE 2 PARCEL,3,3,179065,42148,1,0,0,22224,9,224000,0
27,27,9365,2281,THE GLADES,0,4,184216,45494,1,0,0,4813,-6,252000,0
27,27,10849,2696,THE GLADES,0,4,313585,79000,1,0,0,10362,4,369000,0
19,19,14730,2877,THE GLADES,0,4,363292,79000,1,0,0,9305,0,193500,1
8,33,8929,1478,32 2S 17W  -49.5-  5D4,0,4,154251,32580,1,0,0,937,0,210000,0
61,61,6490,817,LAGUNA BEACH 5TH ADD,0,4,158575,130000,1,0,0,0,1,130000,0
11,26,7701,2090,SUMMER BREEZE PHASE I  21A1,0,5,338524,44045,1,0,0,11916,3,412500,0
82,82,0,954,29 6S 22,0,3,34704,8500,1,294,0,0,-2,20700,1
42,82,0,825,29 6S 22,0,3,36554,12000,1,820,0,635,-8,40000,1
37,46,0,1201,33 6S 22,0,3,56692,9000,1,0,0,0,4,60000,1
72,72,0,1434,33 6S 22,0,3,38071,14000,1,0,0,0,2,37500,0
27,75,0,1388,34 6S 22,0,3,94237,15250,1,12366,352,1504,7,137000,0
27,72,0,1455,35 6S 22,0,3,102252,19000,1,7791,0,683,4,144900,0
14,14,422532,994,5 7S 22,0,2,64444,44450,1,0,0,2052,0,35000,0
17,30,43560,1625,10 7S 22,0,3,110243,14000,1,7239,0,0,4,136500,0
47,47,0,1265,10 7S 22,0,3,80212,59000,1,0,0,1564,4,64600,1
37,65,20038,2306,"SCOTTSMOOR LOTS 24,25,26 BLK 6",3,1,79260,16500,1,6780,0,0,3,66000,0
15,63,6534,794,SUBD OF W 1/2 OF NW 1/4 OF SW,4,1,31620,2320,1,710,0,0,4,61500,0
27,49,20473,2046,S 147.5 FT OF E 147.5 FT OF NW,3,3,86400,6930,1,0,1911,0,0,90000,1
22,37,14810,1404,PART OF NW 1/4 OF NW 1/4 AS DE,3,1,50320,6590,1,0,0,0,0,27500,1
17,56,9148,1896,LA GRANGE ACRES 1ST ADDN LOT 1,3,2,136470,36000,1,1780,0,0,3,164900,0
17,56,8276,1884,COUNTRY ESTATES UNIT 1 LOT 4 E,3,2,139910,40000,1,70,0,0,4,178500,0
17,56,13068,2016,COUNTRY ESTATES UNIT 2 LOT 7 B,3,2,143800,40000,1,0,0,0,2,175000,0
32,52,7405,1285,LAURELL PARK ESTATES REPLAT LO,3,2,81890,40000,1,0,0,0,3,140000,0
14,46,7405,1680,BONNYMEDE ESTATES UNIT NO 1 LO,3,2,131650,40000,1,3550,0,0,4,162900,0
17,35,2178,2226,TITUS WOODS LOT  2 BLK 7,4,3,112070,10000,1,0,0,0,0,88000,1
37,64,7841,1635,PINEWOOD VILLAS LOT 12 BLK A,3,2,80780,28000,1,0,0,0,4,106000,0
32,60,8276,1732,WHITE ACRES SUBD REPLAT LOT 7,3,2,85360,28000,1,0,100,0,4,80000,0
17,42,8276,1644,GROVE PARK LOT 4  BLK A,3,3,131930,32000,1,0,348,0,5,175000,0
17,34,3049,2012,"SPRINGTREE UNIT 3, A CORRECTIV",3,2,82900,5000,1,0,0,0,4,98200,0
32,58,3920,816,CIRCLE PARK S 35.29 FT OF LOT,3,1,31320,7000,1,0,0,0,0,43000,1
32,58,2614,1046,CIRCLE PARK S 24.08 FT OF N 13,3,1,34720,7000,1,0,0,0,0,43000,1
17,56,7405,1886,LUNA HEIGHTS LOT 9 BLK 8,3,2,132880,40000,1,820,0,0,7,170000,0
32,61,8276,1901,GARDENDALE UNIT 1 LOT 4 BLK 1,4,2,101520,39000,1,0,0,0,5,50000,0
26,57,9148,1944,GARDENDALE UNIT 6 LOT 170,3,2,120550,40000,1,0,0,0,0,98000,1
37,64,8712,1552,SOUTH LAKE VILLAGE SEC 1 LOT 3,3,2,75460,35000,1,0,0,0,1,84900,0
7,11,15246,1650,SUBD OF E 1/2 OF NE 1/4 LOT 6,3,3,131380,12950,1,0,0,0,0,74000,0
17,41,10019,1789,BAKERS UNIT 2 LOT 7  BLK 4,4,3,140380,27000,1,0,0,0,-7,173300,0
17,36,12197,1672,"READ & ALLENS SUBD LOTS 23,24",4,2,112020,6880,1,0,0,0,5,163000,0
17,24,44431,1999,PART OF S 1/2 OF NE 1/4 AS DES,3,3,152810,31500,1,0,0,0,4,230000,0
